Voltage (V),Current density
,mA/cm2
User:  Material:  Structure Cell: ,E0 (0 h)
-0.399961352,-0.166893833
-0.389937133,-0.166259033
-0.379948109,-0.165622067
-0.369958729,-0.165249789
-0.359968632,-0.1648691
-0.349980742,-0.164270644
-0.339989752,-0.1638469
-0.330003262,-0.163208267
-0.319977939,-0.162850067
-0.30998975,-0.162527711
-0.300000429,-0.162108667
-0.290014058,-0.1615919
-0.280022472,-0.161381144
-0.270024806,-0.161011322
-0.260020882,-0.160549322
-0.249983966,-0.160114556
-0.239981934,-0.159783244
-0.229980782,-0.159531033
-0.219978824,-0.159277856
-0.209976599,-0.158940389
-0.199978068,-0.158541844
-0.189938098,-0.158270067
-0.179937303,-0.157989867
-0.169931024,-0.157679089
-0.159929767,-0.157318767
-0.149927974,-0.156951378
-0.139922976,-0.1567151
-0.129924834,-0.156365478
-0.119899213,-0.156033522
-0.109908469,-0.155788556
-0.099919543,-0.155454144
-0.08993198,-0.155127378
-0.079942644,-0.1548458
-0.069951594,-0.1545498
-0.059966601,-0.154245178
-0.049938574,-0.1539505
-0.039951224,-0.1536419
-0.029960545,-0.153359544
-0.019971725,-0.1530577
-0.00998214,-0.152768156
7.78236E-06,-0.152488733
0.009993737,-0.152193633
0.019984808,-0.151885044
0.02997067,-0.151585267
0.039957874,-0.151275578
0.049946487,-0.1509649
0.059935443,-0.150673856
0.069956467,-0.150356733
0.079945996,-0.150015056
0.089934416,-0.149636111
0.099919595,-0.149314322
0.109909609,-0.149012856
0.119896948,-0.148657789
0.129924163,-0.148278322
0.139918923,-0.147902656
0.149921492,-0.147558022
0.159924716,-0.147178067
0.169926867,-0.146773667
0.179928556,-0.146323256
0.189962268,-0.145919344
0.199966192,-0.145469433
0.209966481,-0.145059344
0.219966948,-0.1446355
0.229967177,-0.144123711
0.239968762,-0.143556189
0.250004798,-0.143133711
0.260005206,-0.142670411
0.270006061,-0.142089044
0.280002028,-0.141388156
0.289993554,-0.140760122
0.299982011,-0.140109722
0.309969813,-0.139417933
0.319990665,-0.138701589
0.329979986,-0.137894922
0.339968801,-0.137103633
0.349958122,-0.136119344
0.359945506,-0.135140611
0.369934201,-0.134115567
0.37995255,-0.132994789
0.389943779,-0.131700544
0.399932235,-0.130431489
0.409920484,-0.129201244
0.419916362,-0.127614189
0.429921716,-0.1259535
0.439955294,-0.124186889
0.449953705,-0.122288067
0.459957868,-0.1201352
0.469957769,-0.117849733
0.479960322,-0.115624278
0.48995772,-0.112828489
0.499983907,-0.1099411
0.509984672,-0.106468289
0.519984066,-0.102767044
0.529984951,-0.098662789
0.539984047,-0.093823944
0.549987614,-0.088352867
0.559983909,-0.082104922
0.570011914,-0.0750494
0.580002129,-0.066848689
0.589991212,-0.056990289
0.599979818,-0.045343356
0.609968543,-0.030079978
0.619959354,-0.014869267
0.629992127,0.005351974
0.639978111,0.029506178
0.649968863,0.059281767
0.65996176,0.096114567
0.669936121,0.142249222
0.679926872,0.2004303
0.689952672,0.271758578
0.699948013,0.3616469
0.709953249,0.475054633
0.719957769,0.617746589
0.729961693,0.796569411
0.739965558,1.022978944
0.749987543,1.306192522
0.759989619,1.656825122
0.769988537,2.088848367
0.779990792,2.615264056
0.789994538,3.2509302
0.799997747,4.007222011
0.809995472,4.897487811
0.820034623,5.936047011
0.830037177,7.123498167
0.840036929,8.469153222
0.850028992,9.973566433
0.860023141,11.6393
0.8699947,13.45882222
0.880015433,15.44282222
0.890004337,17.57273333
0.899994791,19.84501111
0.909981489,22.2524
0.919970334,24.79062222
0.929962218,27.44911111
0.939985693,30.23427778
0.949972928,33.11496667
0.959960222,36.09371111
0.969952464,39.17746667
0.979944885,42.34134444
0.989951551,45.59118889
0.999991119,48.9365
